Pedido_ID,Venta_ID,Cliente_RUC,Lote_ID,Cantidad_Solicitada,Precio_Unitario,Subtotal,IGV,Total
85,14,20000096,225,17,89.14,1515.38,272.77,1788.15
86,14,20000096,282,16,241.87,3869.92,696.59,4566.51
87,14,20000096,406,12,107.89,1294.68,233.04,1527.72
88,14,20000096,151,20,117.45,2349.0,422.82,2771.82
89,14,20000096,546,14,29.86,418.04,75.25,493.29
90,14,20000096,354,24,25.63,615.12,110.72,725.84
91,14,20000096,72,13,130.33,1694.29,304.97,1999.26
92,15,20000340,377,15,167.53,2512.95,452.33,2965.28
93,15,20000340,176,19,81.37,1546.03,278.29,1824.32
94,15,20000340,300,17,83.03,1411.51,254.07,1665.58
95,15,20000340,427,15,62.12,931.8,167.72,1099.52
96,16,20000383,494,20,55.79,1115.8,200.84,1316.64
97,16,20000383,477,18,110.26,1984.68,357.24,2341.92
98,16,20000383,130,23,103.18,2373.14,427.17,2800.31
99,16,20000383,340,20,199.96,3999.2,719.86,4719.06
100,17,20000014,424,16,58.3,932.8,167.9,1100.7
101,17,20000014,11,15,169.26,2538.9,457.0,2995.9
102,17,20000014,377,15,167.53,2512.95,452.33,2965.28
103,17,20000014,105,17,192.09,3265.53,587.8,3853.33
104,17,20000014,158,12,72.35,868.2,156.28,1024.48
105,17,20000014,277,19,157.03,2983.57,537.04,3520.61
106,17,20000014,283,15,171.15,2567.25,462.1,3029.36
107,18,20000032,419,21,157.27,3302.67,594.48,3897.15
108,18,20000032,286,23,150.44,3460.12,622.82,4082.94
109,18,20000032,243,20,53.88,1077.6,193.97,1271.57
110,18,20000032,47,15,67.82,1017.3,183.11,1200.41
111,18,20000032,95,13,246.85,3209.05,577.63,3786.68
112,18,20000032,392,19,125.29,2380.51,428.49,2809.0
113,18,20000032,139,12,116.09,1393.08,250.75,1643.83
114,18,20000032,103,18,192.09,3457.62,622.37,4079.99
115,19,20000491,348,21,139.51,2929.71,527.35,3457.06
116,19,20000491,121,22,170.88,3759.36,676.68,4436.04
117,19,20000491,130,20,103.18,2063.6,371.45,2435.05
118,19,20000491,103,17,192.09,3265.53,587.8,3853.33
119,19,20000491,403,18,160.41,2887.38,519.73,3407.11
120,19,20000491,254,18,29.13,524.34,94.38,618.72
121,20,20000597,495,10,20.4,204.0,36.72,240.72
122,20,20000597,15,15,75.96,1139.4,205.09,1344.49
123,20,20000597,77,21,22.07,463.47,83.42,546.89
124,20,20000597,358,25,225.71,5642.75,1015.69,6658.44
125,20,20000597,67,25,196.4,4910.0,883.8,5793.8
126,20,20000597,228,20,203.11,4062.2,731.2,4793.4
127,21,20000190,386,18,203.09,3655.62,658.01,4313.63
128,21,20000190,139,12,116.09,1393.08,250.75,1643.83
129,21,20000190,528,18,210.66,3791.88,682.54,4474.42
130,21,20000190,358,21,225.71,4739.91,853.18,5593.09
131,21,20000190,324,16,228.41,3654.56,657.82,4312.38
132,21,20000190,495,13,20.4,265.2,47.74,312.94
133,21,20000190,269,17,63.35,1076.95,193.85,1270.8
134,21,20000190,129,24,103.18,2476.32,445.74,2922.06
135,22,20000033,506,20,227.95,4559.0,820.62,5379.62
136,22,20000033,525,22,218.78,4813.16,866.37,5679.53
137,22,20000033,77,16,22.07,353.12,63.56,416.68
138,22,20000033,178,18,192.86,3471.48,624.87,4096.35
139,23,20000030,424,16,58.3,932.8,167.9,1100.7
140,23,20000030,358,23,225.71,5191.33,934.44,6125.77
141,23,20000030,328,16,94.46,1511.36,272.04,1783.4
142,23,20000030,304,19,35.83,680.77,122.54,803.31
143,23,20000030,445,24,80.94,1942.56,349.66,2292.22
144,23,20000030,269,16,63.35,1013.6,182.45,1196.05
145,23,20000030,11,12,169.26,2031.12,365.6,2396.72
146,23,20000030,254,17,29.13,495.21,89.14,584.35
147,24,20000574,323,17,228.41,3882.97,698.93,4581.9
148,24,20000574,528,15,210.66,3159.9,568.78,3728.68
149,24,20000574,343,20,137.87,2757.4,496.33,3253.73
150,24,20000574,107,22,31.44,691.68,124.5,816.18
151,24,20000574,283,14,171.15,2396.1,431.3,2827.4
152,25,20000419,232,17,27.72,471.24,84.82,556.06
153,25,20000419,146,16,31.82,509.12,91.64,600.76
154,25,20000419,9,18,23.48,422.64,76.08,498.72
155,25,20000419,108,21,31.44,660.24,118.84,779.08
156,26,20000437,427,23,62.12,1428.76,257.18,1685.94
157,26,20000437,286,20,150.44,3008.8,541.58,3550.38
158,26,20000437,353,23,25.63,589.49,106.11,695.6
159,26,20000437,358,26,225.71,5868.46,1056.32,6924.78
160,27,20000496,117,22,25.67,564.74,101.65,666.39
161,27,20000496,277,24,157.03,3768.72,678.37,4447.09
162,27,20000496,528,16,210.66,3370.56,606.7,3977.26
163,27,20000496,497,11,20.4,224.4,40.39,264.79
164,27,20000496,437,15,38.4,576.0,103.68,679.68
165,28,20000558,63,13,111.41,1448.33,260.7,1709.03
166,28,20000558,110,21,37.35,784.35,141.18,925.53
167,28,20000558,129,20,103.18,2063.6,371.45,2435.05
168,28,20000558,142,20,182.52,3650.4,657.07,4307.47
169,29,20000491,499,10,112.58,1125.8,202.64,1328.44
170,29,20000491,340,18,199.96,3599.28,647.87,4247.15
171,29,20000491,77,22,22.07,485.54,87.4,572.94
172,29,20000491,397,14,85.94,1203.16,216.57,1419.73
173,29,20000491,467,13,235.4,3060.2,550.84,3611.04
174,29,20000491,60,15,111.41,1671.15,300.81,1971.96
175,29,20000491,506,24,227.95,5470.8,984.74,6455.54
176,29,20000491,406,15,107.89,1618.35,291.3,1909.65
177,30,20000591,406,14,107.89,1510.46,271.88,1782.34
178,30,20000591,213,12,59.45,713.4,128.41,841.81
179,30,20000591,278,20,157.03,3140.6,565.31,3705.91
180,30,20000591,465,14,235.4,3295.6,593.21,3888.81
181,30,20000591,427,24,62.12,1490.88,268.36,1759.24
182,31,20000443,311,12,40.54,486.48,87.57,574.05
183,31,20000443,25,12,37.93,455.16,81.93,537.09
184,31,20000443,221,20,130.45,2609.0,469.62,3078.62
185,31,20000443,261,10,77.12,771.2,138.82,910.02
186,31,20000443,354,22,25.63,563.86,101.49,665.35
187,32,20000056,135,24,109.17,2620.08,471.61,3091.69
188,32,20000056,354,19,25.63,486.97,87.65,574.62
189,32,20000056,323,17,228.41,3882.97,698.93,4581.9
190,32,20000056,461,12,204.49,2453.88,441.7,2895.58
191,33,20000383,348,18,139.51,2511.18,452.01,2963.19
192,33,20000383,263,11,77.12,848.32,152.7,1001.02
193,33,20000383,310,12,40.54,486.48,87.57,574.05
194,33,20000383,492,20,55.79,1115.8,200.84,1316.64
195,33,20000383,437,13,38.4,499.2,89.86,589.06
196,33,20000383,336,18,169.55,3051.9,549.34,3601.24
197,33,20000383,525,22,218.78,4813.16,866.37,5679.53
198,33,20000383,270,18,63.35,1140.3,205.25,1345.55
199,34,20000229,107,21,31.44,660.24,118.84,779.08
200,34,20000229,20,16,193.21,3091.36,556.44,3647.8
201,34,20000229,206,17,170.33,2895.61,521.21,3416.82
202,34,20000229,508,21,227.95,4786.95,861.65,5648.6
203,34,20000229,311,14,40.54,567.56,102.16,669.72
204,34,20000229,129,22,103.18,2269.96,408.59,2678.55
205,34,20000229,144,21,182.52,3832.92,689.93,4522.85
206,34,20000229,150,20,117.45,2349.0,422.82,2771.82
207,35,20000377,48,15,25.54,383.1,68.96,452.06
208,35,20000377,139,11,116.09,1276.99,229.86,1506.85
209,35,20000377,310,13,40.54,527.02,94.86,621.88
210,35,20000377,324,16,228.41,3654.56,657.82,4312.38
211,35,20000377,313,12,139.69,1676.28,301.73,1978.01
212,35,20000377,341,15,199.96,2999.4,539.89,3539.29
213,35,20000377,392,15,125.29,1879.35,338.28,2217.63
214,36,20000507,540,14,232.35,3252.9,585.52,3838.42
215,36,20000507,286,20,150.44,3008.8,541.58,3550.38
216,36,20000507,270,15,63.35,950.25,171.04,1121.3
217,36,20000507,228,26,203.11,5280.86,950.55,6231.41
218,37,20000096,224,23,172.36,3964.28,713.57,4677.85
219,37,20000096,351,17,139.51,2371.67,426.9,2798.57
220,37,20000096,218,17,130.45,2217.65,399.18,2616.83
221,37,20000096,392,23,125.29,2881.67,518.7,3400.37
222,38,20000596,377,16,167.53,2680.48,482.49,3162.97
223,38,20000596,44,16,67.82,1085.12,195.32,1280.44
224,38,20000596,397,15,85.94,1289.1,232.04,1521.14
225,38,20000596,113,20,37.35,747.0,134.46,881.46
226,38,20000596,304,21,35.83,752.43,135.44,887.87
227,38,20000596,476,17,110.26,1874.42,337.4,2211.82
228,38,20000596,237,16,163.98,2623.68,472.26,3095.94
229,38,20000596,48,16,25.54,408.64,73.56,482.2
230,39,20000016,515,15,212.94,3194.1,574.94,3769.04
231,39,20000016,148,15,31.82,477.3,85.91,563.21
232,39,20000016,328,12,94.46,1133.52,204.03,1337.55
233,39,20000016,15,14,75.96,1063.44,191.42,1254.86
234,39,20000016,247,23,53.88,1239.24,223.06,1462.3
235,39,20000016,406,15,107.89,1618.35,291.3,1909.65
236,39,20000016,269,18,63.35,1140.3,205.25,1345.55
237,40,20000267,188,19,219.6,4172.4,751.03,4923.43
238,40,20000267,282,16,241.87,3869.92,696.59,4566.51
239,40,20000267,340,20,199.96,3999.2,719.86,4719.06
240,40,20000267,361,13,200.33,2604.29,468.77,3073.06
241,40,20000267,152,22,117.45,2583.9,465.1,3049.0
242,41,20000351,403,20,160.41,3208.2,577.48,3785.68
243,41,20000351,28,16,74.2,1187.2,213.7,1400.9
244,41,20000351,382,14,101.18,1416.52,254.97,1671.49
245,41,20000351,142,24,182.52,4380.48,788.49,5168.97
246,42,20000200,255,20,29.13,582.6,104.87,687.47
247,42,20000200,105,19,192.09,3649.71,656.95,4306.66
248,42,20000200,99,16,19.55,312.8,56.3,369.1
249,42,20000200,482,13,169.94,2209.22,397.66,2606.88
250,43,20000550,228,25,203.11,5077.75,914.0,5991.74
251,43,20000550,515,14,212.94,2981.16,536.61,3517.77
252,43,20000550,168,13,69.94,909.22,163.66,1072.88
253,43,20000550,343,23,137.87,3171.01,570.78,3741.79
254,43,20000550,52,10,214.4,2144.0,385.92,2529.92
255,43,20000550,421,19,157.27,2988.13,537.86,3525.99
256,43,20000550,358,21,225.71,4739.91,853.18,5593.09
257,43,20000550,48,19,25.54,485.26,87.35,572.61
258,44,20000216,515,15,212.94,3194.1,574.94,3769.04
259,44,20000216,68,28,196.4,5499.2,989.86,6489.06
260,44,20000216,336,21,169.55,3560.55,640.9,4201.45
261,44,20000216,468,12,235.4,2824.8,508.46,3333.26
262,44,20000216,300,21,83.03,1743.63,313.85,2057.48
263,45,20000315,63,16,111.41,1782.56,320.86,2103.42
264,45,20000315,450,16,103.92,1662.72,299.29,1962.01
265,45,20000315,154,18,117.45,2114.1,380.54,2494.64
266,45,20000315,77,20,22.07,441.4,79.45,520.85
267,45,20000315,293,14,83.6,1170.4,210.67,1381.07
268,45,20000315,108,21,31.44,660.24,118.84,779.08
269,45,20000315,440,23,80.94,1861.62,335.09,2196.71
270,46,20000411,278,19,157.03,2983.57,537.04,3520.61
271,46,20000411,328,12,94.46,1133.52,204.03,1337.55
272,46,20000411,424,15,58.3,874.5,157.41,1031.91
273,46,20000411,274,20,163.63,3272.6,589.07,3861.67
274,47,20000361,142,20,182.52,3650.4,657.07,4307.47
275,47,20000361,66,21,196.4,4124.4,742.39,4866.79
276,47,20000361,108,17,31.44,534.48,96.21,630.69
277,47,20000361,424,20,58.3,1166.0,209.88,1375.88
278,47,20000361,337,21,169.55,3560.55,640.9,4201.45
279,47,20000361,304,21,35.83,752.43,135.44,887.87
280,47,20000361,353,24,25.63,615.12,110.72,725.84
281,48,20000248,14,13,75.96,987.48,177.75,1165.23
282,48,20000248,77,25,22.07,551.75,99.31,651.07
283,48,20000248,128,10,120.2,1202.0,216.36,1418.36
284,48,20000248,365,22,194.01,4268.22,768.28,5036.5
285,48,20000248,514,20,180.87,3617.4,651.13,4268.53
286,48,20000248,263,14,77.12,1079.68,194.34,1274.02
287,48,20000248,377,20,167.53,3350.6,603.11,3953.71
288,48,20000248,25,12,37.93,455.16,81.93,537.09
289,49,20000190,303,20,83.03,1660.6,298.91,1959.51
290,49,20000190,494,17,55.79,948.43,170.72,1119.15
291,49,20000190,377,20,167.53,3350.6,603.11,3953.71
292,49,20000190,204,14,170.33,2384.62,429.23,2813.85
293,49,20000190,455,20,217.45,4349.0,782.82,5131.82
294,49,20000190,135,26,109.17,2838.42,510.92,3349.34
295,49,20000190,232,13,27.72,360.36,64.86,425.22
296,50,20000440,232,24,27.72,665.28,119.75,785.03
297,50,20000440,509,18,227.95,4103.1,738.56,4841.66
298,50,20000440,169,17,69.94,1188.98,214.02,1403.0
299,50,20000440,269,16,63.35,1013.6,182.45,1196.05
300,50,20000440,221,20,130.45,2609.0,469.62,3078.62
301,50,20000440,539,13,232.35,3020.55,543.7,3564.25
302,51,20000143,36,16,116.94,1871.04,336.79,2207.83
303,51,20000143,471,22,65.0,1430.0,257.4,1687.4
304,51,20000143,324,17,228.41,3882.97,698.93,4581.9
305,51,20000143,129,22,103.18,2269.96,408.59,2678.55
306,51,20000143,377,24,167.53,4020.72,723.73,4744.45
307,51,20000143,26,11,37.93,417.23,75.1,492.33
308,52,20000549,397,12,85.94,1031.28,185.63,1216.91
309,52,20000549,534,17,166.73,2834.41,510.19,3344.6
310,52,20000549,304,23,35.83,824.09,148.34,972.43
311,52,20000549,115,17,25.67,436.39,78.55,514.94
312,53,20000448,224,23,172.36,3964.28,713.57,4677.85
313,53,20000448,485,14,169.94,2379.16,428.25,2807.41
314,53,20000448,1,21,144.14,3026.94,544.85,3571.79
315,53,20000448,135,21,109.17,2292.57,412.66,2705.23
316,53,20000448,416,18,157.27,2830.86,509.55,3340.41
317,53,20000448,358,18,225.71,4062.78,731.3,4794.08
318,53,20000448,148,16,31.82,509.12,91.64,600.76
319,53,20000448,369,14,40.38,565.32,101.76,667.08
320,54,20000212,237,21,163.98,3443.58,619.84,4063.42
321,54,20000212,525,24,218.78,5250.72,945.13,6195.85
322,54,20000212,467,11,235.4,2589.4,466.09,3055.49
323,54,20000212,77,24,22.07,529.68,95.34,625.02
324,54,20000212,494,23,55.79,1283.17,230.97,1514.14
325,54,20000212,278,20,157.03,3140.6,565.31,3705.91
326,54,20000212,368,20,194.01,3880.2,698.44,4578.64
327,55,20000212,282,18,241.87,4353.66,783.66,5137.32
328,55,20000212,398,11,242.8,2670.8,480.74,3151.54
329,55,20000212,66,21,196.4,4124.4,742.39,4866.79
330,55,20000212,72,12,130.33,1563.96,281.51,1845.47
331,55,20000212,273,21,163.63,3436.23,618.52,4054.75
332,55,20000212,546,17,29.86,507.62,91.37,598.99
333,56,20000525,115,18,25.67,462.06,83.17,545.23
334,56,20000525,482,19,169.94,3228.86,581.19,3810.05
335,56,20000525,386,16,203.09,3249.44,584.9,3834.34
336,56,20000525,362,13,200.33,2604.29,468.77,3073.06
337,56,20000525,142,20,182.52,3650.4,657.07,4307.47
338,56,20000525,135,20,109.17,2183.4,393.01,2576.41
339,56,20000525,158,17,72.35,1229.95,221.39,1451.34
340,56,20000525,173,16,81.37,1301.92,234.35,1536.27
341,57,20000430,461,10,204.49,2044.9,368.08,2412.98
342,57,20000430,515,14,212.94,2981.16,536.61,3517.77
343,57,20000430,413,13,86.29,1121.77,201.92,1323.69
344,57,20000430,108,20,31.44,628.8,113.18,741.98
345,57,20000430,158,13,72.35,940.55,169.3,1109.85
346,57,20000430,99,18,19.55,351.9,63.34,415.24
347,58,20000511,250,17,164.17,2790.89,502.36,3293.25
348,58,20000511,286,18,150.44,2707.92,487.43,3195.35
349,58,20000511,424,14,58.3,816.2,146.92,963.12
350,58,20000511,368,18,194.01,3492.18,628.59,4120.77
351,59,20000599,168,16,69.94,1119.04,201.43,1320.47
352,59,20000599,278,25,157.03,3925.75,706.63,4632.39
353,59,20000599,470,22,65.0,1430.0,257.4,1687.4
354,59,20000599,528,18,210.66,3791.88,682.54,4474.42
355,59,20000599,11,14,169.26,2369.64,426.54,2796.18
356,59,20000599,485,16,169.94,2719.04,489.43,3208.47
357,59,20000599,232,17,27.72,471.24,84.82,556.06
358,59,20000599,456,17,217.45,3696.65,665.4,4362.05
359,60,20000487,343,19,137.87,2619.53,471.52,3091.05
360,60,20000487,89,14,201.09,2815.26,506.75,3322.01
361,60,20000487,269,19,63.35,1203.65,216.66,1420.31
362,60,20000487,313,14,139.69,1955.66,352.02,2307.68
363,60,20000487,377,24,167.53,4020.72,723.73,4744.45
364,60,20000487,169,16,69.94,1119.04,201.43,1320.47
365,60,20000487,492,17,55.79,948.43,170.72,1119.15
366,60,20000487,143,20,182.52,3650.4,657.07,4307.47
367,61,20000495,437,12,38.4,460.8,82.94,543.74
368,61,20000495,358,23,225.71,5191.33,934.44,6125.77
369,61,20000495,243,19,53.88,1023.72,184.27,1207.99
370,61,20000495,240,18,233.57,4204.26,756.77,4961.03
371,61,20000495,509,19,227.95,4331.05,779.59,5110.64
372,61,20000495,117,17,25.67,436.39,78.55,514.94
373,61,20000495,213,13,59.45,772.85,139.11,911.96
374,62,20000544,60,15,111.41,1671.15,300.81,1971.96
375,62,20000544,274,23,163.63,3763.49,677.43,4440.92
376,62,20000544,206,13,170.33,2214.29,398.57,2612.86
377,62,20000544,345,20,139.51,2790.2,502.24,3292.44
378,63,20000198,406,14,107.89,1510.46,271.88,1782.34
379,63,20000198,274,20,163.63,3272.6,589.07,3861.67
380,63,20000198,292,18,83.6,1504.8,270.86,1775.66
381,63,20000198,139,13,116.09,1509.17,271.65,1780.82
382,63,20000198,218,20,130.45,2609.0,469.62,3078.62
383,63,20000198,534,17,166.73,2834.41,510.19,3344.6
384,64,20000233,27,17,74.2,1261.4,227.05,1488.45
385,64,20000233,26,11,37.93,417.23,75.1,492.33
386,64,20000233,432,12,38.4,460.8,82.94,543.74
387,64,20000233,44,17,67.82,1152.94,207.53,1360.47
388,64,20000233,499,13,112.58,1463.54,263.44,1726.98
389,65,20000164,27,18,74.2,1335.6,240.41,1576.01
390,65,20000164,129,20,103.18,2063.6,371.45,2435.05
391,65,20000164,365,21,194.01,4074.21,733.36,4807.57
392,65,20000164,286,18,150.44,2707.92,487.43,3195.35
393,65,20000164,250,14,164.17,2298.38,413.71,2712.09
394,66,20000267,188,17,219.6,3733.2,671.98,4405.18
395,66,20000267,365,17,194.01,3298.17,593.67,3891.84
396,66,20000267,84,13,201.09,2614.17,470.55,3084.72
397,66,20000267,450,15,103.92,1558.8,280.58,1839.38
398,66,20000267,298,15,83.6,1254.0,225.72,1479.72
399,67,20000043,77,21,22.07,463.47,83.42,546.89
400,67,20000043,455,18,217.45,3914.1,704.54,4618.64
401,67,20000043,468,13,235.4,3060.2,550.84,3611.04
402,67,20000043,269,15,63.35,950.25,171.04,1121.3
403,68,20000473,485,19,169.94,3228.86,581.19,3810.05
404,68,20000473,207,12,59.45,713.4,128.41,841.81
405,68,20000473,427,21,62.12,1304.52,234.81,1539.33
406,68,20000473,158,16,72.35,1157.6,208.37,1365.97
407,68,20000473,113,18,37.35,672.3,121.01,793.31
408,68,20000473,105,16,192.09,3073.44,553.22,3626.66
409,68,20000473,99,20,19.55,391.0,70.38,461.38
410,69,20000409,336,18,169.55,3051.9,549.34,3601.24
411,69,20000409,110,20,37.35,747.0,134.46,881.46
412,69,20000409,224,20,172.36,3447.2,620.5,4067.7
413,69,20000409,250,13,164.17,2134.21,384.16,2518.37
414,70,20000572,207,12,59.45,713.4,128.41,841.81
415,70,20000572,386,15,203.09,3046.35,548.34,3594.69
416,70,20000572,353,20,25.63,512.6,92.27,604.87
417,70,20000572,51,13,214.4,2787.2,501.7,3288.9
418,70,20000572,129,20,103.18,2063.6,371.45,2435.05
419,70,20000572,461,11,204.49,2249.39,404.89,2654.28
420,71,20000497,53,13,214.4,2787.2,501.7,3288.9
421,71,20000497,304,19,35.83,680.77,122.54,803.31
422,71,20000497,286,21,150.44,3159.24,568.66,3727.9
423,71,20000497,110,23,37.35,859.05,154.63,1013.68
424,71,20000497,354,21,25.63,538.23,96.88,635.11
425,71,20000497,1,22,144.14,3171.08,570.79,3741.87
426,71,20000497,546,15,29.86,447.9,80.62,528.52
427,72,20000076,228,24,203.11,4874.64,877.44,5752.08
428,72,20000076,9,18,23.48,422.64,76.08,498.72
429,72,20000076,270,17,63.35,1076.95,193.85,1270.8
430,72,20000076,445,18,80.94,1456.92,262.25,1719.17
431,72,20000076,107,19,31.44,597.36,107.52,704.88
432,72,20000076,528,16,210.66,3370.56,606.7,3977.26
433,72,20000076,23,13,193.21,2511.73,452.11,2963.84
434,73,20000474,340,20,199.96,3999.2,719.86,4719.06
435,73,20000474,232,21,27.72,582.12,104.78,686.9
436,73,20000474,11,14,169.26,2369.64,426.54,2796.18
437,73,20000474,283,19,171.15,3251.85,585.33,3837.18
438,73,20000474,121,18,170.88,3075.84,553.65,3629.49
439,73,20000474,528,15,210.66,3159.9,568.78,3728.68
440,74,20000324,178,20,192.86,3857.2,694.3,4551.5
441,74,20000324,343,16,137.87,2205.92,397.07,2602.99
442,74,20000324,427,16,62.12,993.92,178.91,1172.83
443,74,20000324,540,16,232.35,3717.6,669.17,4386.77
444,74,20000324,341,18,199.96,3599.28,647.87,4247.15
445,74,20000324,224,23,172.36,3964.28,713.57,4677.85
446,75,20000488,228,28,203.11,5687.08,1023.67,6710.75
447,75,20000488,336,18,169.55,3051.9,549.34,3601.24
448,75,20000488,540,12,232.35,2788.2,501.88,3290.08
449,75,20000488,515,13,212.94,2768.22,498.28,3266.5
450,75,20000488,178,15,192.86,2892.9,520.72,3413.62
451,75,20000488,255,19,29.13,553.47,99.62,653.09
452,76,20000349,303,22,83.03,1826.66,328.8,2155.46
453,76,20000349,213,14,59.45,832.3,149.81,982.11
454,76,20000349,63,13,111.41,1448.33,260.7,1709.03
455,76,20000349,135,24,109.17,2620.08,471.61,3091.69
456,76,20000349,467,12,235.4,2824.8,508.46,3333.26
457,77,20000499,88,16,201.09,3217.44,579.14,3796.58
458,77,20000499,282,19,241.87,4595.53,827.2,5422.73
459,77,20000499,470,18,65.0,1170.0,210.6,1380.6
460,77,20000499,534,18,166.73,3001.14,540.21,3541.35
461,77,20000499,343,23,137.87,3171.01,570.78,3741.79
462,77,20000499,93,10,246.85,2468.5,444.33,2912.83
463,77,20000499,204,14,170.33,2384.62,429.23,2813.85
464,77,20000499,240,17,233.57,3970.69,714.72,4685.41
465,78,20000103,354,21,25.63,538.23,96.88,635.11
466,78,20000103,328,10,94.46,944.6,170.03,1114.63
467,78,20000103,277,20,157.03,3140.6,565.31,3705.91
468,78,20000103,169,17,69.94,1188.98,214.02,1403.0
469,78,20000103,217,18,130.45,2348.1,422.66,2770.76
