Venta_ID,Fecha_Registro,Fecha_Envio,Estado,Monto_Total,Fecha_ID
73,2020-03-13,2020-03-16,Completada,19397.49,73
74,2020-03-14,2020-03-17,Completada,21639.09,74
75,2020-03-15,2020-03-20,Completada,20935.28,75
76,2020-03-16,2020-03-21,Completada,11271.55,76
77,2020-03-17,2020-03-18,Completada,28295.14,77
78,2020-03-18,2020-03-22,Completada,15793.55,78
79,2020-03-19,2020-03-21,Completada,22029.54,79
80,2020-03-20,2020-03-21,Completada,28293.25,80
81,2020-03-21,2020-03-24,Completada,10551.83,81
82,2020-03-22,2020-03-27,Completada,21368.07,82
83,2020-03-23,2020-03-24,Completada,9927.33,83
84,2020-03-24,2020-03-28,Completada,22783.86,84
85,2020-03-25,2020-03-28,Completada,26345.35,85
86,2020-03-26,,Cancelada,8243.86,86
87,2020-03-27,2020-03-29,Completada,13616.82,87
88,2020-03-28,,Cancelada,11609.29,88
89,2020-03-29,2020-03-30,Completada,12642.59,89
90,2020-03-30,2020-03-31,Completada,17147.87,90
91,2020-03-31,2020-04-01,Completada,11346.1,91
92,2020-04-01,,Pendiente,16516.11,92
93,2020-04-02,2020-04-05,Completada,17771.01,93
94,2020-04-03,2020-04-06,Completada,20758.34,94
95,2020-04-04,2020-04-07,Completada,13614.09,95
96,2020-04-05,2020-04-09,Completada,25484.47,96
97,2020-04-06,2020-04-11,Completada,17679.3,97
98,2020-04-07,2020-04-09,Completada,12679.31,98
99,2020-04-08,2020-04-13,Completada,7422.88,99
100,2020-04-09,2020-04-14,Completada,18386.33,100
101,2020-04-10,2020-04-12,Completada,3850.98,101
102,2020-04-11,2020-04-14,Completada,13822.4,102
103,2020-04-12,2020-04-15,Completada,13123.02,103
104,2020-04-13,2020-04-18,Completada,25554.13,104
105,2020-04-14,2020-04-19,Completada,10235.05,105
106,2020-04-15,2020-04-20,Completada,15870.8,106
107,2020-04-16,2020-04-21,Completada,18797.69,107
108,2020-04-17,2020-04-22,Completada,16887.3,108
109,2020-04-18,,Pendiente,12442.51,109
110,2020-04-19,2020-04-21,Completada,15981.07,110
111,2020-04-20,,Pendiente,24345.15,111
112,2020-04-21,2020-04-23,Completada,13245.83,112
113,2020-04-22,2020-04-23,Completada,6737.94,113
114,2020-04-23,2020-04-24,Completada,14295.19,114
115,2020-04-24,2020-04-25,Completada,15806.24,115
116,2020-04-25,2020-04-29,Completada,25786.05,116
117,2020-04-26,,Pendiente,15554.28,117
118,2020-04-27,2020-04-30,Completada,18629.17,118
119,2020-04-28,2020-05-02,Completada,18884.93,119
120,2020-04-29,2020-05-01,Completada,14798.05,120
121,2020-04-30,2020-05-03,Completada,12825.9,121
122,2020-05-01,2020-05-05,Completada,18857.98,122
123,2020-05-02,2020-05-04,Completada,20000.56,123
124,2020-05-03,2020-05-05,Completada,13286.06,124
125,2020-05-04,2020-05-08,Completada,8642.95,125
126,2020-05-05,2020-05-07,Completada,11654.29,126
127,2020-05-06,2020-05-08,Completada,27795.45,127
128,2020-05-07,,Pendiente,15667.92,128
129,2020-05-08,2020-05-10,Completada,26070.11,129
130,2020-05-09,,Pendiente,9978.47,130
131,2020-05-10,2020-05-14,Completada,15561.27,131
132,2020-05-11,2020-05-14,Completada,8275.27,132
133,2020-05-12,2020-05-17,Completada,8420.85,133
134,2020-05-13,2020-05-14,Completada,14399.8,134
135,2020-05-14,,Pendiente,16076.87,135
136,2020-05-15,,Cancelada,24071.53,136
137,2020-05-16,2020-05-20,Completada,5942.45,137
138,2020-05-17,,Pendiente,13370.35,138
139,2020-05-18,2020-05-23,Completada,6595.64,139
140,2020-05-19,,Cancelada,21449.14,140
141,2020-05-20,2020-05-21,Completada,11341.13,141
142,2020-05-21,,Pendiente,17213.05,142
143,2020-05-22,2020-05-25,Completada,13171.37,143
144,2020-05-23,2020-05-24,Completada,8168.34,144
145,2020-05-24,2020-05-25,Completada,20224.79,145
146,2020-05-25,,Cancelada,18953.05,146
147,2020-05-26,2020-05-28,Completada,10940.56,147
148,2020-05-27,2020-05-30,Completada,15443.09,148
149,2020-05-28,2020-06-01,Completada,17267.49,149
150,2020-05-29,2020-06-01,Completada,12956.99,150
151,2020-05-30,2020-06-04,Completada,7088.53,151
152,2020-05-31,2020-06-03,Completada,14689.74,152
153,2020-06-01,2020-06-06,Completada,24138.33,153
154,2020-06-01,2020-06-03,Completada,16107.3,153
155,2020-06-02,,Pendiente,14940.65,154
156,2020-06-02,2020-06-06,Completada,25949.77,154
157,2020-06-03,,Pendiente,8421.56,155
158,2020-06-03,2020-06-06,Completada,5489.34,155
159,2020-06-04,,Pendiente,16638.54,156
160,2020-06-04,2020-06-05,Completada,24669.51,156
161,2020-06-05,2020-06-08,Completada,16438.91,157
162,2020-06-05,2020-06-07,Completada,7417.24,157
163,2020-06-06,2020-06-11,Completada,15622.32,158
164,2020-06-06,2020-06-09,Completada,10555.47,158
165,2020-06-07,2020-06-08,Completada,12427.73,159
166,2020-06-07,2020-06-09,Completada,14064.44,159
167,2020-06-08,2020-06-12,Completada,5798.06,160
168,2020-06-08,2020-06-13,Completada,12289.87,160
169,2020-06-09,2020-06-11,Completada,10737.99,161
170,2020-06-09,2020-06-12,Completada,17748.9,161
171,2020-06-10,,Pendiente,9187.65,162
172,2020-06-10,2020-06-12,Completada,14862.01,162
173,2020-06-11,2020-06-13,Completada,18316.43,163
174,2020-06-11,2020-06-14,Completada,19914.26,163
175,2020-06-12,2020-06-14,Completada,9820.73,164
176,2020-06-12,2020-06-17,Completada,13862.19,164
177,2020-06-13,,Pendiente,13847.89,165
178,2020-06-13,2020-06-17,Completada,11340.5,165
179,2020-06-14,,Pendiente,21214.54,166
180,2020-06-14,,Pendiente,19813.82,166
181,2020-06-15,2020-06-16,Completada,8845.41,167
182,2020-06-15,,Pendiente,20862.05,167
183,2020-06-16,2020-06-19,Completada,30304.57,168
184,2020-06-16,2020-06-18,Completada,21250.06,168
185,2020-06-17,2020-06-19,Completada,16389.85,169
186,2020-06-17,2020-06-21,Completada,28493.64,169
187,2020-06-18,2020-06-22,Completada,15407.42,170
188,2020-06-18,2020-06-20,Completada,9826.14,170
189,2020-06-19,2020-06-24,Completada,15598.69,171
190,2020-06-19,2020-06-22,Completada,13134.82,171
191,2020-06-20,2020-06-22,Completada,11745.28,172
192,2020-06-20,,Pendiente,14291.83,172
193,2020-06-21,2020-06-25,Completada,21516.79,173
194,2020-06-21,2020-06-22,Completada,9304.28,173
195,2020-06-22,2020-06-25,Completada,27536.62,174
196,2020-06-22,2020-06-24,Completada,9856.45,174
197,2020-06-23,2020-06-25,Completada,12772.32,175
198,2020-06-23,2020-06-27,Completada,7978.95,175
199,2020-06-24,2020-06-26,Completada,15651.19,176
200,2020-06-24,2020-06-25,Completada,14193.66,176
201,2020-06-25,2020-06-26,Completada,21446.88,177
202,2020-06-25,2020-06-29,Completada,21598.27,177
203,2020-06-26,2020-06-28,Completada,16817.28,178
204,2020-06-26,2020-06-27,Completada,12839.21,178
205,2020-06-27,,Pendiente,15768.14,179
206,2020-06-27,2020-06-28,Completada,20552.21,179
207,2020-06-28,2020-07-01,Completada,22459.9,180
208,2020-06-28,2020-06-30,Completada,17847.72,180
209,2020-06-29,,Pendiente,16835.87,181
210,2020-06-29,2020-06-30,Completada,16522.49,181
211,2020-06-30,2020-07-03,Completada,20434.94,182
212,2020-06-30,2020-07-02,Completada,21400.03,182
213,2020-07-01,,Pendiente,29948.39,183
214,2020-07-01,,Pendiente,13377.18,183
215,2020-07-02,2020-07-07,Completada,14243.92,184
216,2020-07-02,2020-07-03,Completada,16855.34,184
217,2020-07-03,2020-07-06,Completada,16496.1,185
218,2020-07-03,2020-07-04,Completada,17934.3,185
219,2020-07-04,2020-07-06,Completada,10169.58,186
220,2020-07-04,,Pendiente,17357.62,186
221,2020-07-05,,Cancelada,16911.69,187
222,2020-07-05,2020-07-09,Completada,10044.01,187
223,2020-07-06,2020-07-10,Completada,13452.86,188
224,2020-07-06,2020-07-08,Completada,25408.57,188
225,2020-07-07,2020-07-11,Completada,25085.09,189
226,2020-07-07,2020-07-10,Completada,17561.02,189
227,2020-07-08,2020-07-13,Completada,13896.41,190
228,2020-07-08,2020-07-12,Completada,10265.79,190
229,2020-07-09,2020-07-13,Completada,15518.42,191
230,2020-07-09,2020-07-10,Completada,10623.68,191
231,2020-07-10,2020-07-13,Completada,21609.66,192
232,2020-07-10,2020-07-13,Completada,16578.05,192
233,2020-07-11,,Pendiente,14465.18,193
234,2020-07-11,2020-07-12,Completada,10647.16,193
235,2020-07-12,2020-07-17,Completada,28772.78,194
236,2020-07-12,2020-07-17,Completada,18116.22,194
237,2020-07-13,,Cancelada,22089.47,195
238,2020-07-13,2020-07-15,Completada,14105.89,195
239,2020-07-14,2020-07-16,Completada,19348.93,196
240,2020-07-14,2020-07-17,Completada,11725.14,196
241,2020-07-15,,Cancelada,19629.5,197
242,2020-07-15,2020-07-16,Completada,23559.42,197
243,2020-07-16,,Pendiente,25251.67,198
244,2020-07-16,2020-07-19,Completada,17003.54,198
245,2020-07-17,2020-07-22,Completada,21066.36,199
246,2020-07-17,2020-07-22,Completada,23328.11,199
247,2020-07-18,2020-07-22,Completada,19016.26,200
248,2020-07-18,2020-07-21,Completada,14181.83,200
249,2020-07-19,2020-07-23,Completada,15831.77,201
250,2020-07-19,,Cancelada,12542.02,201
251,2020-07-20,2020-07-23,Completada,18757.79,202
252,2020-07-20,2020-07-22,Completada,16559.93,202
253,2020-07-21,2020-07-22,Completada,16766.28,203
254,2020-07-21,,Pendiente,21908.58,203
255,2020-07-22,2020-07-27,Completada,24399.24,204
256,2020-07-22,2020-07-27,Completada,20907.6,204
257,2020-07-23,2020-07-28,Completada,16698.37,205
258,2020-07-23,2020-07-25,Completada,16016.56,205
259,2020-07-24,2020-07-26,Completada,16174.06,206
260,2020-07-24,,Pendiente,15194.66,206
261,2020-07-25,2020-07-30,Completada,5163.88,207
262,2020-07-25,2020-07-27,Completada,14941.1,207
263,2020-07-26,2020-07-29,Completada,23511.77,208
264,2020-07-26,,Pendiente,23104.81,208
265,2020-07-27,2020-07-29,Completada,14951.93,209
266,2020-07-27,2020-07-31,Completada,10273.36,209
267,2020-07-28,2020-08-02,Completada,23248.78,210
268,2020-07-28,2020-08-02,Completada,8914.86,210
269,2020-07-29,,Pendiente,19634.7,211
270,2020-07-29,2020-07-31,Completada,21504.33,211
271,2020-07-30,2020-07-31,Completada,11550.75,212
272,2020-07-30,2020-08-02,Completada,19023.49,212
273,2020-07-31,2020-08-03,Completada,9704.09,213
274,2020-07-31,2020-08-04,Completada,18314.83,213
275,2020-08-01,,Cancelada,17012.63,214
276,2020-08-01,2020-08-02,Completada,14434.9,214
277,2020-08-02,2020-08-04,Completada,15040.84,215
278,2020-08-02,2020-08-03,Completada,16344.46,215
279,2020-08-03,2020-08-04,Completada,14022.07,216
280,2020-08-03,,Pendiente,25141.57,216
281,2020-08-04,2020-08-09,Completada,20402.95,217
282,2020-08-04,2020-08-06,Completada,23257.73,217
283,2020-08-05,2020-08-06,Completada,19159.93,218
284,2020-08-05,2020-08-06,Completada,14004.3,218
285,2020-08-06,,Pendiente,13924.89,219
286,2020-08-06,,Pendiente,12676.08,219
287,2020-08-07,2020-08-09,Completada,21574.68,220
288,2020-08-07,,Pendiente,20157.96,220
289,2020-08-08,2020-08-09,Completada,18621.15,221
290,2020-08-08,2020-08-13,Completada,11034.34,221
291,2020-08-09,2020-08-10,Completada,17485.81,222
292,2020-08-09,2020-08-10,Completada,7983.09,222
293,2020-08-10,2020-08-15,Completada,14025.19,223
294,2020-08-10,,Pendiente,19037.42,223
295,2020-08-11,2020-08-13,Completada,19376.53,224
296,2020-08-11,2020-08-13,Completada,18454.69,224
297,2020-08-12,2020-08-16,Completada,27731.22,225
298,2020-08-12,,Cancelada,12487.82,225
299,2020-08-13,2020-08-18,Completada,13070.05,226
300,2020-08-13,2020-08-14,Completada,16949.2,226
301,2020-08-14,,Cancelada,14552.93,227
302,2020-08-14,2020-08-15,Completada,12153.61,227
303,2020-08-15,2020-08-18,Completada,13265.11,228
304,2020-08-15,2020-08-20,Completada,13625.67,228
305,2020-08-16,2020-08-21,Completada,15318.42,229
306,2020-08-16,2020-08-18,Completada,14919.0,229
307,2020-08-17,2020-08-19,Completada,9135.37,230
308,2020-08-17,,Pendiente,7529.44,230
309,2020-08-18,2020-08-20,Completada,19562.65,231
310,2020-08-18,2020-08-19,Completada,30499.72,231
311,2020-08-19,2020-08-21,Completada,22702.48,232
312,2020-08-19,,Pendiente,10958.09,232
313,2020-08-20,2020-08-25,Completada,12716.1,233
314,2020-08-20,2020-08-23,Completada,20634.97,233
315,2020-08-21,2020-08-22,Completada,10496.0,234
316,2020-08-21,2020-08-26,Completada,9077.18,234
317,2020-08-22,2020-08-27,Completada,17622.6,235
318,2020-08-22,2020-08-23,Completada,14960.17,235
319,2020-08-23,2020-08-27,Completada,12612.77,236
320,2020-08-23,2020-08-24,Completada,19531.33,236
321,2020-08-24,2020-08-27,Completada,21946.25,237
322,2020-08-24,2020-08-29,Completada,17411.72,237
323,2020-08-25,,Pendiente,17820.1,238
324,2020-08-25,2020-08-28,Completada,13096.91,238
325,2020-08-26,2020-08-31,Completada,22070.25,239
326,2020-08-26,2020-08-27,Completada,21984.63,239
327,2020-08-27,2020-08-30,Completada,16490.45,240
328,2020-08-27,2020-09-01,Completada,16985.75,240
329,2020-08-28,2020-08-29,Completada,19911.69,241
330,2020-08-28,2020-09-02,Completada,18165.27,241
331,2020-08-29,2020-09-02,Completada,13169.87,242
332,2020-08-29,2020-09-01,Completada,9954.66,242
333,2020-08-30,,Pendiente,15804.67,243
334,2020-08-30,2020-09-02,Completada,8690.07,243
335,2020-08-31,2020-09-05,Completada,18166.12,244
336,2020-08-31,2020-09-02,Completada,7409.59,244
337,2020-09-01,2020-09-06,Completada,13742.23,245
338,2020-09-02,2020-09-07,Completada,17455.79,246
339,2020-09-03,2020-09-06,Completada,10729.94,247
340,2020-09-04,,Pendiente,19613.23,248
341,2020-09-05,,Pendiente,23398.19,249
342,2020-09-06,2020-09-07,Completada,12119.58,250
343,2020-09-07,2020-09-10,Completada,10556.19,251
344,2020-09-08,2020-09-13,Completada,18124.04,252
345,2020-09-09,2020-09-10,Completada,22268.56,253
346,2020-09-10,,Cancelada,12461.11,254
347,2020-09-11,2020-09-14,Completada,23142.5,255
348,2020-09-12,2020-09-16,Completada,28161.53,256
349,2020-09-13,2020-09-18,Completada,24819.38,257
350,2020-09-14,,Cancelada,26652.93,258
351,2020-09-15,2020-09-17,Completada,19152.86,259
352,2020-09-16,,Pendiente,14502.43,260
353,2020-09-17,2020-09-19,Completada,13093.56,261
354,2020-09-18,2020-09-22,Completada,17814.21,262
355,2020-09-19,2020-09-20,Completada,18831.12,263
356,2020-09-20,2020-09-25,Completada,11366.99,264
357,2020-09-21,2020-09-22,Completada,13680.29,265
358,2020-09-22,,Pendiente,16413.5,266
359,2020-09-23,2020-09-28,Completada,13122.74,267
360,2020-09-24,2020-09-28,Completada,15089.08,268
361,2020-09-25,2020-09-30,Completada,9918.75,269
362,2020-09-26,2020-09-30,Completada,27011.73,270
363,2020-09-27,2020-10-01,Completada,8177.93,271
364,2020-09-28,,Pendiente,22422.11,272
365,2020-09-29,,Cancelada,13250.44,273
366,2020-09-30,2020-10-01,Completada,14428.87,274
367,2020-10-01,2020-10-04,Completada,21074.7,275
368,2020-10-02,2020-10-07,Completada,15998.05,276
369,2020-10-03,2020-10-08,Completada,15893.78,277
370,2020-10-04,2020-10-06,Completada,23984.27,278
371,2020-10-05,2020-10-10,Completada,17100.37,279
372,2020-10-06,2020-10-11,Completada,17230.46,280
373,2020-10-07,2020-10-10,Completada,22772.47,281
374,2020-10-08,2020-10-13,Completada,23307.12,282
375,2020-10-09,2020-10-12,Completada,20117.47,283
376,2020-10-10,2020-10-15,Completada,8722.98,284
377,2020-10-11,2020-10-16,Completada,13914.19,285
378,2020-10-12,2020-10-17,Completada,13370.88,286
379,2020-10-13,2020-10-15,Completada,13873.96,287
380,2020-10-14,2020-10-17,Completada,7217.26,288
381,2020-10-15,2020-10-18,Completada,28455.64,289
382,2020-10-16,2020-10-20,Completada,25651.26,290
383,2020-10-17,2020-10-22,Completada,9299.85,291
384,2020-10-18,,Pendiente,9201.65,292
385,2020-10-19,2020-10-21,Completada,19543.55,293
386,2020-10-20,2020-10-21,Completada,19520.93,294
387,2020-10-21,2020-10-26,Completada,16662.71,295
388,2020-10-22,2020-10-27,Completada,21280.07,296
389,2020-10-23,2020-10-28,Completada,13470.36,297
390,2020-10-24,2020-10-26,Completada,22736.41,298
391,2020-10-25,2020-10-27,Completada,7769.12,299
392,2020-10-26,2020-10-29,Completada,6493.67,300
393,2020-10-27,2020-11-01,Completada,11470.72,301
394,2020-10-28,2020-10-31,Completada,22738.42,302
395,2020-10-29,,Pendiente,10439.69,303
396,2020-10-30,,Pendiente,21174.62,304
397,2020-10-31,2020-11-04,Completada,17301.23,305
398,2020-11-01,2020-11-05,Completada,24720.79,306
399,2020-11-02,2020-11-05,Completada,20143.31,307
400,2020-11-03,2020-11-06,Completada,15310.77,308
401,2020-11-04,2020-11-05,Completada,13691.21,309
402,2020-11-05,2020-11-08,Completada,17626.08,310
403,2020-11-06,,Pendiente,13785.27,311
404,2020-11-07,2020-11-09,Completada,20224.95,312
405,2020-11-08,2020-11-12,Completada,26083.51,313
406,2020-11-09,2020-11-14,Completada,12812.6,314
407,2020-11-10,2020-11-15,Completada,9681.66,315
408,2020-11-11,,Pendiente,12884.04,316
409,2020-11-12,2020-11-15,Completada,15135.06,317
410,2020-11-13,2020-11-15,Completada,21461.43,318
411,2020-11-14,2020-11-15,Completada,21486.02,319
412,2020-11-15,2020-11-16,Completada,15082.52,320
413,2020-11-16,2020-11-18,Completada,20079.47,321
414,2020-11-17,2020-11-18,Completada,18332.37,322
415,2020-11-18,,Pendiente,26132.96,323
416,2020-11-19,2020-11-21,Completada,22341.83,324
417,2020-11-20,2020-11-22,Completada,20027.42,325
418,2020-11-21,,Pendiente,17457.32,326
419,2020-11-22,2020-11-25,Completada,23462.54,327
420,2020-11-23,,Pendiente,12852.15,328
421,2020-11-24,2020-11-28,Completada,17283.11,329
422,2020-11-25,,Pendiente,20248.98,330
423,2020-11-26,2020-11-27,Completada,32679.86,331
424,2020-11-27,2020-12-01,Completada,32952.66,332
425,2020-11-28,2020-12-02,Completada,11612.78,333
426,2020-11-29,2020-12-04,Completada,17783.04,334
427,2020-11-30,2020-12-02,Completada,21376.99,335
428,2020-12-01,2020-12-04,Completada,10700.58,336
429,2020-12-01,2020-12-06,Completada,18331.92,336
430,2020-12-01,2020-12-06,Completada,21444.39,336
431,2020-12-02,,Cancelada,23176.52,337
432,2020-12-02,2020-12-03,Completada,10353.87,337
433,2020-12-02,2020-12-06,Completada,21158.32,337
434,2020-12-03,2020-12-07,Completada,16405.55,338
435,2020-12-03,2020-12-08,Completada,18987.31,338
436,2020-12-03,2020-12-04,Completada,20621.9,338
437,2020-12-04,,Pendiente,6675.87,339
438,2020-12-04,2020-12-07,Completada,23600.46,339
439,2020-12-04,2020-12-08,Completada,10518.93,339
440,2020-12-05,2020-12-08,Completada,11473.54,340
441,2020-12-05,2020-12-07,Completada,16828.5,340
442,2020-12-05,2020-12-08,Completada,15552.51,340
443,2020-12-06,2020-12-09,Completada,11276.29,341
444,2020-12-06,2020-12-09,Completada,16548.76,341
445,2020-12-06,2020-12-10,Completada,21056.95,341
446,2020-12-07,2020-12-12,Completada,14793.98,342
447,2020-12-07,2020-12-08,Completada,15501.3,342
448,2020-12-07,,Pendiente,17534.53,342
449,2020-12-08,2020-12-11,Completada,23802.91,343
450,2020-12-08,,Pendiente,20668.27,343
451,2020-12-08,2020-12-11,Completada,19932.75,343
452,2020-12-09,2020-12-11,Completada,16352.49,344
453,2020-12-09,2020-12-12,Completada,13781.52,344
454,2020-12-09,2020-12-12,Completada,8636.17,344
455,2020-12-10,,Pendiente,8559.53,345
456,2020-12-10,2020-12-14,Completada,21185.48,345
457,2020-12-10,,Cancelada,15818.43,345
458,2020-12-11,,Cancelada,13434.78,346
459,2020-12-11,2020-12-13,Completada,24655.5,346
460,2020-12-11,2020-12-12,Completada,17028.05,346
461,2020-12-12,2020-12-13,Completada,16868.98,347
462,2020-12-12,2020-12-13,Completada,25702.15,347
463,2020-12-12,2020-12-15,Completada,16546.99,347
464,2020-12-13,2020-12-15,Completada,23193.63,348
465,2020-12-13,2020-12-18,Completada,25904.08,348
466,2020-12-13,2020-12-16,Completada,6388.38,348
467,2020-12-14,2020-12-17,Completada,19195.71,349
468,2020-12-14,2020-12-16,Completada,15775.01,349
469,2020-12-14,2020-12-19,Completada,13464.68,349
470,2020-12-15,2020-12-17,Completada,14307.95,350
471,2020-12-15,2020-12-20,Completada,10048.99,350
472,2020-12-15,2020-12-16,Completada,17658.23,350
473,2020-12-16,2020-12-20,Completada,11584.77,351
474,2020-12-16,,Pendiente,14930.89,351
475,2020-12-16,,Pendiente,22613.41,351
476,2020-12-17,2020-12-19,Completada,17664.53,352
477,2020-12-17,2020-12-19,Completada,17004.52,352
478,2020-12-17,2020-12-22,Completada,13371.71,352
479,2020-12-18,2020-12-21,Completada,9235.93,353
480,2020-12-18,,Pendiente,22367.42,353
481,2020-12-18,2020-12-20,Completada,9958.57,353
482,2020-12-19,,Pendiente,17494.01,354
483,2020-12-19,,Cancelada,9719.81,354
484,2020-12-19,2020-12-21,Completada,13003.14,354
485,2020-12-20,2020-12-22,Completada,31577.49,355
486,2020-12-20,2020-12-21,Completada,13743.8,355
487,2020-12-20,2020-12-21,Completada,22577.92,355
488,2020-12-21,2020-12-26,Completada,23252.39,356
489,2020-12-21,2020-12-24,Completada,22026.56,356
490,2020-12-21,2020-12-24,Completada,8700.31,356
491,2020-12-22,,Pendiente,21175.71,357
492,2020-12-22,2020-12-25,Completada,16935.45,357
493,2020-12-22,2020-12-23,Completada,22508.38,357
494,2020-12-23,2020-12-26,Completada,12353.96,358
495,2020-12-23,2020-12-26,Completada,12264.72,358
496,2020-12-23,2020-12-27,Completada,15049.86,358
497,2020-12-24,2020-12-28,Completada,17068.88,359
498,2020-12-24,2020-12-29,Completada,13139.89,359
499,2020-12-24,,Cancelada,14446.29,359
500,2020-12-25,2020-12-29,Completada,20264.0,360
501,2020-12-25,2020-12-30,Completada,9739.58,360
502,2020-12-25,2020-12-30,Completada,8124.88,360
503,2020-12-26,2020-12-30,Completada,26808.85,361
504,2020-12-26,2020-12-30,Completada,15104.03,361
505,2020-12-26,,Pendiente,19115.91,361
506,2020-12-27,2020-12-31,Completada,20297.2,362
507,2020-12-27,2020-12-29,Completada,9508.1,362
508,2020-12-27,,Pendiente,8659.46,362
509,2020-12-28,2020-12-31,Completada,14383.42,363
510,2020-12-28,,Pendiente,10825.88,363
511,2020-12-28,,Pendiente,26936.31,363
512,2020-12-29,2021-01-03,Completada,23886.68,364
513,2020-12-29,,Cancelada,8669.79,364
514,2020-12-29,2021-01-02,Completada,20385.06,364
515,2020-12-30,,Pendiente,10177.91,365
516,2020-12-30,2021-01-01,Completada,13789.97,365
517,2020-12-30,2021-01-03,Completada,13085.5,365
518,2020-12-31,2021-01-02,Completada,16289.21,366
519,2020-12-31,2021-01-04,Completada,4422.44,366
520,2020-12-31,2021-01-03,Completada,23514.51,366
521,2021-01-01,2021-01-06,Completada,19333.74,367
522,2021-01-01,,Pendiente,11265.01,367
523,2021-01-02,2021-01-07,Completada,10926.62,368
524,2021-01-02,2021-01-05,Completada,11412.73,368
525,2021-01-03,,Pendiente,17001.88,369
526,2021-01-03,,Pendiente,13661.33,369
527,2021-01-04,2021-01-09,Completada,19208.36,370
528,2021-01-04,2021-01-07,Completada,19832.83,370
529,2021-01-05,2021-01-06,Completada,20697.42,371
530,2021-01-05,2021-01-08,Completada,25168.68,371
